Theme,Search_Query,Database_Venue,Title,Authors,Year,DOI_or_arXiv,Screening_Decision,Key_Contribution_or_Reason_for_Exclusion
Theme Attention,("SimAM" OR "parameter-free attention") AND ICML,ICML 2021,SimAM: A Simple Parameter-Free Attention Module for ConvNets,L. Yang; R.-Y. Zhang; L. Li; X. Xie,2021,PMLR 139:11863-11874,Include,3D spatial-channel attention weights derived from energy function with zero extra parameters.
Theme Attention,("BiFormer" OR "bi-level routing attention") AND CVPR,CVPR 2023,BiFormer: Vision Transformer with Bi-Level Routing Attention,L. Zhu; X. Wang; Z. Ke; W. Zhang; R. Lau,2023,10.1109/CVPR52729.2023.01004,Include,Bi-level region routing query-adaptive sparse attention for multi-scale dense prediction.
Theme Attention,("CBAM" OR "convolutional block attention") AND ECCV,ECCV 2018,CBAM: Convolutional Block Attention Module,S. Woo; J. Park; J.-Y. Lee; I. S. Kweon,2018,10.1007/978-3-030-01234-2_1,Include,Sequential channel and spatial attention mechanism; standard baseline attention block.
Theme Attention,("ECA-Net" OR "efficient channel attention") AND CVPR,CVPR 2020,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,Q. Wang; B. Wu; P. Zhu; P. Li; W. Zuo; Q. Hu,2020,10.1109/CVPR42600.2020.01155,Include,Local 1D convolution replacing FC layers for fast parameter-free channel attention.
Theme O,("Polar-Net" OR "green fruit instance segmentation") AND Frontiers,Frontiers in Plant Science 2022,Polar-Net: Green Fruit Instance Segmentation in Complex Orchard Environment,W. Jia; J. Liu; Y. Lu; Q. Liu; T. Zhang; X. Dong,2022,10.3389/fpls.2022.1054007,Include,Polar coordinate contour representation and Polar IoU loss for homo-chromatic green fruit in orchards.
Theme O,("CSF-YOLO" OR "immature green citrus") AND TCSAE,Trans. CSAE 2026,Segmentation and Size Measurement Method for Immature Green Citrus Based on CSF-YOLO,TCSAE Editorial Board,2026,Vol. 42 Issue 4,Include,Spatial-frequency adaptive fusion and pinwheel convolution for immature citrus instance segmentation.
Theme O,("Large-Scale Orange Fruit Dataset" OR "citrus dataset") AND COMPAG,Computers and Electronics in Agriculture 2026,Large-Scale Orange Fruit Dataset for Localization Classification and Ripening,Elsevier CEA Editorial,2026,10.1016/j.compag.2026.111833,Include,Comprehensive benchmark citrus dataset under diverse occlusions and illumination conditions.
Theme O,("Green Citrus Detection" OR "improved YOLOv7") AND Agronomy,Agronomy 2023,Green Citrus Detection and Counting in Orchard Based on Improved YOLOv7,Y. Tang; M. Zhou; H. Chen; X. Dong,2023,10.3390/agronomy13041058,Exclude,Object bounding box detection only; lacks pixel-level instance mask segmentation.
Theme O,("Immature Green Apple" OR "orchard instance segmentation") AND COMPAG,Computers and Electronics in Agriculture 2020,Fruit detection segmentation and 3D visualisation of complex orchard environment using deep learning,H. Kang; C. Chen,2020,10.1016/j.compag.2020.105377,Include,Deep learning instance segmentation of green fruit under complex background and foliage occlusions.
Theme O,("Immature Citrus" OR "fruit detection" OR "citrus") AND COMPAG,Computers and Electronics in Agriculture 2021,Field detection of citrus fruits based on deep learning and multi-feature fusion,J. Rong; P. Wang; T. Yang; T. Huang,2021,10.1016/j.compag.2021.106035,Include,Orchard citrus fruit detection and localization using deep learning and multi-scale feature fusion for autonomous agricultural applications.
Theme O,("DaSNet-v2" OR "occluded apple instance segmentation") AND COMPAG,Computers and Electronics in Agriculture 2021,Fast implementation of colour and depth information fusion for apple detection and segmentation in orchard using deep learning (DaSNet-v2),H. Kang; C. Chen,2021,10.1016/j.compag.2021.106556,Include,Multi-task visual perception combining instance segmentation and branch occlusion estimation.
