排名,模型名称,实验标识,所属系列/分类,改进部位,改进方向/设计意图,参数量(M),计算量(GFLOPs),训练轮次,训练耗时,核心超参数,Box Precision,Box Recall,Box mAP50,Box mAP50-95,Mask Precision,Mask Recall,Mask mAP50,Mask mAP50-95,相对基线Mask mAP增益(%),有效性梯队判定
67,G10 Hybrid (Full策略),10_yolo11n-seg-hybrid-lska-carafe-bifpn-p2b_full_adamw_train_300ep_b16,GPT测试组(G系列),训练策略消融,"G10 架构 + 开启 NWDLoss, Copy-Paste, DiceLoss, BoundaryLoss, FreqLoss",3.214,14.54,300,2.3h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Full策略",0.9000,0.7512,0.8247,0.6815,0.9002,0.7493,0.8194,0.6403,+1.96%,第三梯队 (辅助正收益/单点增强)
68,SXQNet-V4-Former,SXQNet-V4-former_300ep,SXQNet复合家族,Transformer网络,Transformer 驱动复合架构,2.716,25.71,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9092,0.7350,0.8117,0.6649,0.9150,0.7350,0.8118,0.6401,+1.93%,第三梯队 (辅助正收益/单点增强)
69,F56 FreqSuite,F56_yolo11-seg-freqsuite_300ep,频域套件网络,全网络频域优化,全频域套件轻量化模型,2.556,9.78,300,1.5h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8696,0.7375,0.8136,0.6542,0.8584,0.7395,0.8115,0.6395,+1.88%,第三梯队 (辅助正收益/单点增强)
70,F45 Edge-Nano,F45_yolo11-seg-citrusfar-edge-nano_300ep,纳米轻量网络,全网络轻量化,纳米级极简架构 (仅 1.42M 参数),1.419,10.17,300,1.1h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9053,0.7196,0.8130,0.6649,0.9053,0.7196,0.8114,0.6380,+1.72%,第三梯队 (辅助正收益/单点增强)
71,SXQNet-V3-Freq,SXQNet-V3-freq_300ep,SXQNet复合家族,频域驱动网络,频域分析与小波分解复合架构,2.250,9.41,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8971,0.7188,0.8127,0.6483,0.8961,0.7169,0.8123,0.6366,+1.58%,第三梯队 (辅助正收益/单点增强)
72,SXQNet-V8-Texture,SXQNet-V8-texture_300ep,SXQNet复合家族,纹理全链网络,端到端纹理感知与细粒度增强复合架构,2.791,12.63,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9338,0.6995,0.8030,0.6498,0.9363,0.7009,0.8006,0.6345,+1.37%,第四梯队 (边际有效/收益微弱)
73,F61 TGP+TDAM,F61_yolo11-seg-tgp-tdam_300ep,双模块复合,前置/拓扑注意力,组合纹理前置处理 (TGP) 与拓扑解耦注意力 (TDAM),2.910,10.75,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9029,0.7268,0.8070,0.6559,0.9041,0.7277,0.8039,0.6334,+1.26%,第四梯队 (边际有效/收益微弱)
74,SXQNet-V9-Dark,SXQNet-V9-dark_300ep,SXQNet复合家族,暗光自适应网络,暗光自适应与强抗噪复合架构,2.589,13.20,233,1.6h,"ep:233, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9145,0.7216,0.8098,0.6538,0.9033,0.7207,0.8064,0.6289,+0.81%,第四梯队 (边际有效/收益微弱)
75,SXQNet-V2-Nano,SXQNet-V2-nano_300ep,SXQNet复合家族,全网络轻量化,纳米级极简复合架构 (1.42M 参数),1.422,11.93,300,1.1h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8669,0.7321,0.8078,0.6559,0.8641,0.7302,0.7995,0.6270,+0.63%,第四梯队 (边际有效/收益微弱)
76,YOLO11n-seg (Baseline),001_3_yolo11-seg_adamw,官方基线/参考标准,基线 (Baseline),官方最新轻量基线 (C3k2+SPPF+Segment),2.843,10.36,300,1.4h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9130,0.7054,0.7944,0.6402,0.9218,0.7016,0.7863,0.6208,+0.00%,第四梯队 (边际有效/收益微弱)
77,F23 HVI+DFEM,F23_yolo11-seg-hvi-dfem_300ep,双模块复合,输入/P3 增强,结合暗光色彩增强 (HVI) 与细节增强 (DFEM),2.874,11.00,300,2.1h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9163,0.6996,0.7944,0.6422,0.9173,0.7082,0.7912,0.6201,-0.06%,第五梯队 (负收益/负协同/不推荐)
78,YOLOv8n-seg,001_1_yolov8-seg_adamw,官方基准对照,完整架构,官方前代轻量实例分割 (C2f+解耦头),3.264,12.11,300,1.3h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.8845,0.7236,0.7887,0.6422,0.8862,0.7245,0.7927,0.6168,-0.40%,第五梯队 (负收益/负协同/不推荐)
79,YOLO11-MANO,004_1_yolo11-mano(attn),注意力机制,Backbone/Neck,嵌入 MANO 多尺度非局部注意力,2.989,11.16,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9240,0.6883,0.7930,0.6373,0.8459,0.7255,0.7880,0.6149,-0.59%,第五梯队 (负收益/负协同/不推荐)
80,YOLO12n-seg,001_4_yolo12-seg_adamw,官方基准对照,完整架构,区域注意力轻量实例分割基线,2.821,10.39,300,1.3h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9025,0.7140,0.7915,0.6374,0.9101,0.7043,0.7897,0.6147,-0.61%,第五梯队 (负收益/负协同/不推荐)
81,F60 TGP,F60_yolo11-seg-tgp_300ep,纹理前置处理,输入前置网络,引入纹理引导前置处理器 (Texture Guidance Preprocessor),2.843,9.38,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9356,0.6930,0.7904,0.6429,0.9289,0.6972,0.7804,0.6141,-0.66%,第五梯队 (负收益/负协同/不推荐)
82,F53 CitrusFormer-Plus,F53_yolo11-seg-citrusformer-plus_300ep,多模块全量复合,全网络复合,全量堆叠 Shallow-Heavy、LumiFormer、BiFPN 等组件,2.758,29.24,300,2.1h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8942,0.7121,0.7993,0.6273,0.8821,0.7204,0.7963,0.6039,-1.68%,第五梯队 (负收益/负协同/不推荐)
83,YOLO11-StarNet-s1,002_1_yolo11-starnet_s1,早期主干替换,Backbone 骨干,以 StarNet-s1 星乘算子替换主干,4.511,14.43,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9353,0.6609,0.7758,0.6120,0.9285,0.6606,0.7720,0.5978,-2.30%,第五梯队 (负收益/负协同/不推荐)
84,YOLO26n-seg,001_5_yolo26-seg_adamw,官方基准对照,完整架构,端到端无锚框实例分割基线,3.053,10.79,300,1.4h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.8804,0.6873,0.7652,0.5928,0.8804,0.6778,0.7630,0.5964,-2.44%,第五梯队 (负收益/负协同/不推荐)
85,YOLO11-StarNet-s2,002_2_yolo11-starnet_s2,早期主干替换,Backbone 骨干,以更深 StarNet-s2 替换主干,5.312,16.49,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9211,0.6721,0.7661,0.6014,0.9465,0.6578,0.7619,0.5949,-2.59%,第五梯队 (负收益/负协同/不推荐)
86,SXQNet-V1,SXQNet-seg_300ep,SXQNet复合家族,全网络复合,多模块全量堆叠复合架构 (多重特征增强+复杂注意力+多尺度融合),2.500,14.42,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8621,0.7255,0.8056,0.6134,0.8621,0.7255,0.8011,0.5912,-2.95%,第五梯队 (负收益/负协同/不推荐)
87,YOLO11-MobileNetV4,003_1_yolo11-mobilenetv4,早期主干替换,Backbone 骨干,以 MobileNetV4 替换主干,3.680,11.81,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:1, Baseline策略",0.9213,0.6616,0.7625,0.6028,0.9170,0.6587,0.7580,0.5884,-3.23%,第五梯队 (负收益/负协同/不推荐)
